"0,""TERROR,AFRAID,SCARE,FRIGHT"""
"1,""BOYS,GUYS,JERK"""
"2,""SITUATION,INSTANCE,CIRCUMSTANCE"""
"3,""COWGIRL,RODEO,RANCH,RIDER,COWBOY"""
"4,""TENNIS,COURT,BASKETBALL,RACQUETBALL"""
"5,""TAVERN,HOUSE,ALE"""
"6,""FARM,ANIMALS,COW"""
"7,""FRY,SKILLET,PAN"""
"8,""SALARY,WAGE,MINIMUM,LOW,INCOME"""
"9,""MOUNTAIN,APEX,SUMMIT,PEAK,CREST,CRESCENT"""
"10,""MEASUREMENT,TIME,MEASURE"""
"11,""DESIGNER,ARCHITECT,ARTIST"""
"12,""KIND,HAPPY,NICE"""
"13,""ROOM,MESS,TIDY,SLOPPY,NEAT,MESSY"""
"14,""AREA,REGION,COUNTY,PROVIDENCE,RURAL,LOCAL"""
"15,""PUNISH,PAIN,SPANK,WHIP,HURT"""
"16,""ODOR,DEODORANT,SMELL"""
"17,""HEAT,WARM,HOT"""
"18,""RAGE,FURY,FURRY,HOSTILITY,MAD,ANGER,ANGRY"""
"19,""JACKET,COAT,SUEDE"""
"20,""MALE,HIM,HE"""
"21,""BASEBALL,CARDINAL,BLUEJAY"""
"22,""LIE,TELL,TRUTH"""
"23,""ATTIRE,CASUAL,FORMAL"""
"24,""WITCH,GOBLIN,HALLOWEEN"""
"25,""TROUBLE,JUVENILE,DELINQUENT"""
"26,""TASK,CHORE,HARD"""
"27,""WARN,WARNING,DANGER"""
"28,""EXISTENCE,EXTINCT,EXIST,LIVING"""
"29,""OUTGOING,WITHDRAWN,INTROVERT"""
"30,""ADMISSION,DENY,ALLOW"""
"31,""AUTUMN,SPRING,SEASON"""
"32,""REPRODUCE,SPAWN,BREED,SEX"""
"33,""LIE,BURGLAR,FUGITIVE,CRIME,BAD,TRAITOR,SUSPECT,TREASON,MURDERER,ROBBER,CHEAT,THIEF,BANDIT,CROOK,VILLAIN,JAIL,THEFT,PRISON,MISCHIEF,MAFIA,KILLER,LIAR,ILLEGAL,HANDCUFFS,DISHONEST,GANGSTER,VICTIM,UNTRUTHFUL,DECEIT,VIOLATION,OUTLAW,UNLAWFUL,PERJURY,CRIMINAL,PRANK"""
"34,""CHEESE,CRACKERS,CRACKER"""
"35,""COFFEE,TEA,KETTLE,STEAM,TEAPOT,BOIL"""
"36,""HEATER,FIREPLACE,WINTER"""
"37,""QUICK,BRISK,FAST"""
"38,""SALESMAN,SALES,PITCH"""
"39,""SEASONING,SALT,PEPPER,GARLIC,SPICE"""
"40,""PUFF,FLUFFY,COTTON"""
"41,""DISTINCT,DIFFERENT,UNIQUE"""
"42,""DO,ACCOMPLISH,ACHIEVE,BECOME"""
"43,""PRICELESS,LIFE,PRECIOUS"""
"44,""PAIN,ULCER,HURT"""
"45,""SCREW,NAILS,HAMMER"""
"46,""CURRENT,MODERN,OLD,CONTEMPORARY,RECENT"""
"47,""BEAM,RAYS,RAY,SUNSHINE,SUN"""
"48,""GYM,BASKETBALL,SPORTS"""
"49,""EXPENSIVE,REAL ESTATE"""
"50,""AIDS,VIRUS,DISEASE,INFECTION"""
"51,""CREATE,DESIGN,MAKE"""
"52,""TRENCH,DITCH,PIT"""
"53,""ISLAND,SUNSHINE,FLORIDA,HAWAII,TROPICAL,SUN"""
"54,""WALLET,STOLEN,PURSE"""
"55,""BODY,STOMACH,ORGAN,ABDOMEN,LIVER,INTESTINE"""
"56,""CATTLE,COW,BULL"""
"57,""SEE,PERCEPTION,PERCEIVE,SIGHT,SENSE"""
"58,""MESSY,ORGANIZATION,NEAT,TIDY"""
"59,""STAIRWAY,HALLWAY,HALL"""
"60,""DISHONEST,ATTORNEY,LIAR"""
"61,""FEEBLE,TINY,FRAIL"""
"62,""NORMAL,BORING,AVERAGE,EVERYDAY,ROUTINE,ORDINARY,MEDIOCRE,NORM,USUAL"""
"63,""CERTAIN,DOUBT,UNSURE,SURE"""
"64,""POLICE,ARMY,AIR FORCE,UNIFORM,SOLDIER,OFFICER,MILITARY"""
